0	0	0
1000	0	0
2000	0	0
3000	0	0
4000	0	0
5000	0	0
6000	0	0
7000	0	0
8000	0	0
9000	0	0
10000	0	0
11000	0	0
12000	0	0
13000	0	0
14000	0	0
15000	0	0
16000	0	0
17000	0	0
18000	0	0
19000	0	0
20000	0	0
21000	0	0
22000	0	0
23000	0	0
24000	0	0
25000	0	0
26000	0	0
27000	0	0
28000	0	0
29000	0	0
30000	0	0
31000	0	0
32000	0	0
33000	0	0
34000	0	0
35000	0	0
36000	0	0
37000	0	0
38000	0	0
39000	0	0
40000	0	0
41000	0	0
42000	0	0
43000	0	0
44000	0	0
45000	0	0
46000	0	0
47000	0	0
48000	0	0
49000	0	0
50000	0	0
51000	0	0
52000	0	0
53000	0	0
54000	0	0
55000	0	0
56000	0	0
57000	0	0
58000	0	0
59000	0	0
60000	0	0
61000	0	0
62000	0	0
63000	0	0
64000	0	0
65000	0	0
66000	0	0
67000	0	0
68000	0	0
69000	0	0
70000	0	0
71000	0	0
72000	0	0
73000	0	0
74000	0	0
75000	0	0
76000	0	0
77000	0	0
78000	0	0
79000	0	0
80000	0	0
81000	0	0
82000	0	0
83000	0	0
84000	0	0
85000	0	0
86000	0	0
87000	0	0
88000	0	0
89000	0	0
90000	0	0
91000	0	0
92000	0	0
93000	0	0
94000	0	0
95000	0	0
96000	0	0
97000	0	0
98000	0	0
99000	0	0
100000	0	0
101000	0	0
102000	0	0
103000	0	0
104000	0	0
105000	0	0
106000	0	0
107000	0	0
108000	0	0
109000	0	0
110000	0	0
111000	0	0
112000	0	0
113000	0	0
114000	0	0
115000	0	0
116000	0	0
117000	0	0
118000	0	0
119000	0	0
120000	0	0
121000	0	0
122000	0	0
123000	0	0
124000	0	0
125000	0	0
126000	0	0
127000	0	0
128000	0	0
129000	0	0
130000	0	0
131000	0	0
132000	0	0
133000	0	0
134000	0	0
135000	0	0
136000	0	0
137000	0	0
138000	0	0
139000	0	0
140000	0	0
141000	0	0
142000	0	0
143000	0	0
144000	0	0
145000	0	0
146000	0	0
147000	0	0
148000	0	0
149000	0	0
150000	-3048	1843
151000	-2757	-6432
152000	1853	-1561
153000	2119	971
154000	3053	3956
155000	-1622	3421
156000	6929	2569
157000	-5309	-9164
158000	-537	-329
159000	6858	3950
160000	-1880	-4998
161000	4513	1262
162000	2865	1880
163000	-1467	-6163
164000	-1423	-3663
165000	-3064	-1689
166000	-11711	-4408
167000	2915	5066
168000	-8197	-2135
169000	-5533	-4293
170000	-3789	-2722
171000	-649	1604
172000	-5945	-4919
173000	4483	5310
174000	-6989	-2272
175000	-5868	-4083
176000	1710	-205
177000	-1273	111
178000	2774	-651
179000	-3907	3199
180000	-3621	396
181000	-3779	-3724
182000	8001	2465
183000	5911	308
184000	-10517	-7861
185000	-6299	-5739
186000	2936	-2483
187000	-1407	-4068
188000	-4372	-4540
189000	-9502	-4986
190000	-1172	-2451
191000	262	-1318
192000	-3352	-2460
193000	801	-1197
194000	-2774	-3029
195000	-5424	-2683
196000	2060	-429
197000	685	-1955
198000	-2398	648
199000	-120	482
200000	-4352	-2882
201000	-1489	-99
202000	2096	1540
203000	-6796	16
204000	-10254	-1534
205000	-4516	142
206000	-2191	-6787
207000	6622	4002
208000	3769	5083
209000	-5438	-2374
210000	-4491	335
211000	919	-85
212000	8774	2514
213000	1432	-1658
214000	12606	5383
215000	15075	6226
216000	7315	6184
217000	-1179	882
218000	1818	-1998
219000	5511	404
220000	4265	3580
221000	6158	5837
222000	5394	3056
223000	-17160	1525
224000	12540	10415
225000	3299	9157
226000	-7322	2028
227000	821	1075
228000	5721	5236
229000	5679	-1603
230000	7544	92
231000	-170	8974
232000	-4664	3050
233000	845	-3836
234000	2343	262
235000	-938	-944
